name,review,wakati,topic number
仙介,神戸の東灘には白鶴、菊正宗など大手酒蔵もありますが、福寿（神戸酒心館）と仙介（泉酒造）のようにがんばって特徴のあるお酒を造る酒蔵もあります。純米大吟醸（精米歩合48%、アルコール度数15～16度、山田錦100%）を冷で飲んでみました。吟醸香がフルーティで、私にはリンゴか白ブドウのように感じます。中口と言うのでしょうか、甘みは少なく後味がすっきり。サッパリとした味わいでした。白ワインにも比肩して、海外でも評価されて良い香りだと思います。これで4合で2000円少しはお得。梵,神戸 東灘    正宗 大手 酒蔵 ある 福寿   神戸      仙介    酒造   よう がんばる 特徴 ある  造る 酒蔵 ある  吟醸   精米 歩合       アルコール 度数       山田          飲む みる 吟醸  フルーティ  リンゴ  ブドウ よう 感じる 中口 言う  甘み 少ない 後味 サッパリ する 味わい  ワイン 比肩 する 海外 評価 する れる 良い 香り 思う これ           ,3
蔵王,スッキリライトな口当り、米の旨味がしっかりと。余韻は仄かなマスカット系白ワイン的酸味がキレ良く。アテは何でもイケますね。シーザーサラダから牛肉の炒め、鶏唐揚げ、煮卵、色々合わせてみたが何でも合う！立ち飲み屋で出てきたら抜群かと思う。和る,ライト 口当り  旨味 余韻 仄か マスカット   ワイン  酸味 キレ 良い アテ  イケ シーザー サラダ 牛肉 炒める   揚げる 煮る  合わせる みる  合う   立ち 飲み屋 出る くる 抜群 思う ,19
瀧自慢,かなり涼しくなってきましたが､瀧自慢の｢夏吟醸｣とてもフレッシュな香りが良くて甘く感じるが､あと味はとてもさっぱり香りとうまさで騙されますがしっかりとした辛口です剣菱,かなり 涼しい なる くる  自慢  吟醸 フレッシュ 香り 良い 甘い 感じる あと  香り うまい  騙す れる する 辛口  ,7
まんさくの花,開栓直後はピリリとガス感、リンゴの含み香、原酒の力強さ、時間の経過と共に柑橘系の酸が少しずつ出てきます。秋田酒こまちらしい綺麗さと山田錦の麹によるふくよかさが旨くバランスしており、純米大吟醸ですが、綺麗一辺倒ではなくしっかりと飲み応えある旨味を備えてます。農口尚彦研究所,  直後 ピリリ ガス  リンゴ 含み  原酒 力強い  時間 経過 柑橘   出る くる 秋田  こまち 綺麗  山田   ふくよか  旨い バランス する おる  吟醸 綺麗 一辺倒 飲む 応える ある 旨味 備える   尚彦 研究所,28
辰泉,スリムな中に低精白ならではの骨太なワイルド感、しっかりとした米の旨味を感じます。冷やして飲むとワイルドさが際立ってましたが、常温に近づくに連れてキュンとした旨酸が顔を出してややドライにヒケます。含み香はちょいストロベリーかな。今まで飲んできた辰泉とはちょっと趣が異なる、そこがプリミティブなる由縁なのか。会津の美食と共にガッツリ飲りたいですね。馬刺しや会津地鶏、山菜の天ぷらといきたいな～。,スリム  精白 ならでは 骨太 ワイルド  する  旨味 感じる 冷やす 飲む ワイルド  際立つ 常温 近づく 連れる キュン する    出す ドライ ヒケ 含み  ストロベリー  飲む くる    異なる そこ プリミティブ 由縁  会津 美食 ガッツリ  馬刺し 会津   山菜 天ぷら いきる,34
貴魂,リンゴ酸甘みと酸味のバランスが良く、果実酒のような日本酒。飲み疲れしないお酒です。磯自慢,リンゴ  甘み 酸味 バランス 良い 果実  よう 日本  飲む 疲れる する   自慢,23
雨後の月,派手さは無く落ち着いたトーン、優しい梨の香味に余韻はベリー的酸味が仄かにキュッと。さざ波のように旨味が寄せては繰り返す。これは旨い！アテも何でも合いますね。ポン酢系のサッパリ系と合わせると最高！コスパも良いし定番酒にしたいですね。菊水,派手  無い 落ち着く トーン 優しい  香味 余韻 ベリー  酸味 仄か キュッ さざ波 よう 旨味 寄せる 繰り返す これ 旨い   アテ  合う ポン酢  サッパリ  合わせる 最高   コスパ 良い 定番  する 菊水,2
東一,山田錦の純吟を甲州勝沼醸造のワイン樽に貯蔵したもの。立ち香は華やか、含むとマスカットやパイナップルの果実的香味、熟成による力強さとまろやかな旨味、濃厚さがある。余韻はキュッと締まる酸。アテはベタにナチュラルチーズの色々なのと合わせてみましたがクセの強いやつほど合う感じですね。仙介,山田   甲州 勝沼 醸造 ワイン  貯蔵 する もの 立ち  華やか 含む マスカット パイナップル 果実  香味 熟成 力強い  まろやか 旨味 濃厚  ある 余韻 キュッ 締まる  アテ ベタ ナチュラル チーズ    合わせる みる クセ 強い やつ 合う 感じ 仙介,34
国権,精米歩合40%の純米大吟醸フルーティーな香りと適度な甘さ翌日になると甘みは少し抑えられ､後味の渋味がキュッと引き締めるカラアゲがうまい!東洋美人,精米 歩合       吟醸 フルーティー 香り 適度 甘い  翌日 なる 甘み 抑える られる 後味   キュッ 引き締める カラアゲ うまい   東洋 美人,34
農口尚彦研究所,秋酒の方はより梨っぽさがあり、落ち着きと瑞々しさ、しっとりと。円やかさと融和を感じる。余韻は棚引く旨さを味わいながら。焼き鳥や生野菜など何でも合いましたが、やはり煮物と組み合わせが最高かな。ガンモや大根なんかと合わせるとグッと来ます。楽器正宗,    っぽい  ある 落ち着き  しい  円やか  融和 感じる 余韻 棚引く 旨い  味わう 焼き鳥 野菜  合う 煮物 組み合わせ 最高 ガンモ 大根 合わせる 来る 楽器 正宗,19
流輝,優しい蜜柑の甘味とグレープフルーツの酸が絡み合って爽やかさを演出。余韻は柑橘系の皮の苦み。なかなか旨いです。スペックは以下の通り。精米：６０％（滋賀県産山田錦）酵母：協会９号度数：１６度日本酒度：－３酸：１．８土田,優しい 蜜柑 甘味 グレープフルーツ  絡み合う 爽やか  演出 余韻 柑橘   苦み 旨い スペック 以下 通り 精米         滋賀   山田    酵母   協会    度数       日本                 土田,30
花邑,出張時に偶然訪れた酒屋さんのスタッフと売り場の商品でワイワイお話して、こんなお酒あるんですけどいかがですか？と出してもらった一品。この銘柄の成り立ちもお聞きし、興味惹かれて購入に至りました。柔らかなストロベリーの香味が優しくフワリ、酸も適度にジュワッと、キレも素晴らしく心地良い果実感の余韻を残しながらスムースにヒケます。色々な意味でなるほど。流石に旨いですね。龍力,出張  偶然 訪れる 酒屋 さん スタッフ 売り場 商品 お話 する  ある  いかが   出す もらう 一品 銘柄 成り立ち 聞く する 興味 惹く れる 購入 至る 柔らか ストロベリー 香味 優しい  適度 ジュワッ キレ 素晴らしい 心地 良い 果実  余韻 残す スムース ヒケ   意味 なる 流石 旨い  ,33
常きげん,参五磨の名のとおり､精米歩合35%の大吟醸ですフレッシュ&フルーティで甘口のワインのような味です桃と梨が混ざったような甘い香りと､香り相応な甘さですそれでいて糖度10.7%はそれほどでもないか?40度程度に温めても酸味は強く出ず､穏やか20-30度くらいが香りと甘さを感じて良いアルコール17%なので飲んだ人は｢これはヤバい酒だ｣という感想でした自然郷,    とおり 精米 歩合      吟醸 フレッシュ   フルーティ 甘口 ワイン よう    混ざる よう 甘い 香り 香り 相応 甘い  糖度                程度 温める 酸味 強い 出る 穏やか          香り 甘い  感じる 良い アルコール      飲む  これ ヤバ いる  感想 自然 ,32
勝駒,清酒特別本醸造アルコール分16度精米歩合55%富山県高岡市にて購入したが、店頭になく・・問い合わせをしたら倉庫から出してくれました。店主からは転売目的で大量購入されるのを防ぐ為に店頭に出して無いとの事。特徴は本醸造酒らしい香りがあり、飲んだ後の余韻のキレは短い。味の濃淡はすっきりでアルコール添加によくある感じてす。今回は、冷酒として飲んだが、常温、温燗の方が良いのかなぁ、確かに食中酒なら飽きないタイプですね。黒部峡,清酒 特別 醸造 アルコール      精米 歩合      富山  高岡  購入 する 店頭 ない 問い合わせ する 倉庫 出す くれる 店主 転売 目的 大量 購入 する れる  防ぐ  店頭 出す  特徴 醸造  香り ある 飲む  余韻 キレ 短い  濃淡 アルコール 添加 感じる する 今回 冷酒 飲む 常温    良い  確か    飽きる タイプ 黒部 ,34
早瀬浦,福井では知る人ぞ知る早瀬浦ですが、山廃純米生酒（盛夏の搾りたて）を冷で飲みました。精米歩合55%、アルコール度数18度で、開けると炭酸ガスが出てきます。開けてしばらくは炭酸で辛口です。生酒のフレッシュな香りと五百万石の旨味が強いので、芳醇な旨口という感じです。開けて数日経つと炭酸が抜けて、フレッシュな香りも少し減りますが、純米酒の味わいが楽しめます。全く火入れをしないので要冷蔵で保管しました。夏の時期限定で、流通は難しいかも。玉旭,福井 知る  知る 早瀬     生酒   盛夏 搾る たて    飲む 精米 歩合       アルコール 度数     開ける 炭酸 ガス 出る くる 開ける 炭酸 辛口 生酒 フレッシュ 香り     旨味 強い 芳醇   感じ 開ける   経つ 炭酸 抜ける フレッシュ 香り 減る   味わい 楽しめる 火入れ する 冷蔵 保管 する  時期 限定 流通 難しい  ,25
鍋島,全酒類うまい酒だねー,酒類 うまい ,33
出羽桜,出羽桜は初めて飲んでみました。原酒ひやおろしで生詰めとありますが、いちど火入れしてあります。精米歩合は55%です。辛口で、冷で飲んでみましたが、一口目はアルコールを感じました。旨味は少なく、すっきりした後口だと思います。香りは米の感じが強いかな。早瀬浦,出羽  飲む みる 原酒 ひる おろす 詰め ある いちど 火入れ する ある 精米 歩合      辛口  飲む みる 一口  アルコール 感じる 旨味 少ない する 後口 思う 香り  感じ 強い 早瀬 ,22
梵,梵はコスパで私のお気に入りです。普段は「梵純米55(磨き五割五分)」がちょっと甘めで好きです。5年熟成とは言っても、値段は純米55より少し高い程度なので、試してみました。こちらの「ときしらず」は、正直、5年熟成の味は私にはわかりません。辛口とありますが口に含むと甘みを感じ、旨味があります。燗がおすすめのようですが、常温で楽しみました。香りには古酒の感じはありません。日本国, コスパ  お気に入り 普段 梵純       磨き        甘い  好き    熟成 言う 値段      高い 程度 試す みる こちら きしる 正直    熟成   わかる 辛口 ある  含む 甘み 感じる 旨味 ある  おすすめ よう 常温 楽しむ 香り  感じ ある 日本 ,26
月吉野,こちらも若き女性蔵元杜氏の3シーズン目の作品です。使用米は米所でもある地元上田市塩田平産の「ひとごこち」と「美山錦」。一言で言えば「ややドライな辛口」といったところですが、複雑で奥行きもあり“気がついたら結構行っちゃってる系”とでもいうんでしょうか(笑)。南部美人,こちら 若い 女性 蔵元 杜氏   シーズン  作品 使用  米所 ある 地元 上田   田平  ひと ごこち 美山  一言 言う ドライ 辛口 ところ 複雑 奥行き ある  つく 行く ちゃう てる    いう        南部 美人,34
浅間嶽,使用米は「亀の尾」。なんと地元小諸市産のものだそうです。まだまだ若い女性の蔵元杜氏さんがメインとなってから、ラベルもリニューアルされて目に入りやすいデザインになりました。派手さはなく「わー美味しい！」というより、しみじみ「旨いなあ…」って感じで染み込んできます。まあまあなベテランが仕込んだような落ち着いた味わいは、秋の味覚をアテに静かに楽しむにはもってこいですね。獅子吼,使用    地元 小諸   もの そう 若い 女性 蔵元 杜氏 さん メイン なる ラベル リニューアル する れる  入る やすい デザイン なる 派手    美味しい    いう 旨い 感じ 染み込む くる ベテラン 仕込む よう 落ち着く 味わい  味覚 アテ 静か 楽しむ もってこい 獅子吼,34
超,開栓初日、冷やして飲むとライトにスムース、米の旨味を感じるが、かなりスッキリ。２日目から味の広がりが感じられる。優しい旨味とドライな尖がりが相まってふくよかな味わいとなっている。これは冷やして飲むより常温、ぬる燗を試してみたくなる。根菜類のアテと合いそうだ。三笑楽,  初日 冷やす 飲む ライト スムース  旨味 感じる      広がり 感じる られる 優しい 旨味 ドライ 尖る がり ふくよか 味わい なる いる これ 冷やす 飲む 常温 ぬる  試す みる なる 根菜  アテ 合う そう   ,3
ロ万,以前に飲んだ｢だぢゅー｣は2回火入れだったが､それと比較するとやや辛口要冷蔵で冷えてたのであまり香りは感じないがキリッとした酸味とうまさが良い温めると酸味が強いので少し温くなったのがいい。瀧自慢,以前 飲む       火入れ それ 比較 する 辛口 冷蔵 冷える てる 香り 感じる する 酸味 うまい  良い 温める 酸味 強い 温い なる  いい  自慢,24
福田,すっと切れて後味を感じないタイプで、辛さすら感じないかも。舌でよく味わいながら飲むと米の旨みと辛さを感じます。春鹿,切れる 後味 感じる タイプ 辛い  感じる  味わう 飲む  旨み 辛い  感じる  ,12
池月,磨き55％ですが北陸らしい米の旨みしっかりタイプ。もちろん燗でも美味しいはずです。ちょい辛口。?兵衛、酒好きが好みそうなお酒です。御慶事,磨き      北陸  旨み タイプ  美味しい はず 辛口  兵衛 酒好き 好む そう  慶事,1
天明,2016年に収穫された米で作り､1年低温熟成させてできた酒冷やしたまま飲んでみるが渋みというか苦味がまず口に入る常温にすると柔らかな酸味とうまみ香りはそれほどでもなく､あまり甘くも感じない45度程度と思うが温めると雑味がなくなり､酸味もかなり少なくマイルド&テイスティに温めた方がうまいな益荒男,      収穫 する れる  作る    低温 熟成 する せる できる  冷やす まま 飲む みる 渋み いう 苦味  入る 常温 する 柔らか 酸味 うまみ 香り ない 甘い 感じる     程度 思う 温める   なくなる 酸味 少ない マイル   テイスティ 温める  うまい 益荒男,17
田酒,最近飲んだ田酒純吟と比べると華やかさは大分控え目、青リンゴの若い香り、山廃のコクが落ち着きを与えている印象。舌に吸いつくようなドライ感、中盤からキュッとジュワッと柑橘系の酸がアクセントを与えてくれる。派手すぎず、それでいて山廃だからと言ってドスンとしすぎず。カジュアルなイタリアン、フレンチと合わせたいかな。真澄,最近 飲む    比べる 華やかさ 大分 控え目  リンゴ 若い 香り   コク 落ち着き 与える いる 印象  吸う つく よう ドライ  中盤 キュッ ジュワッ 柑橘   アクセント 与える くれる 派手 すぎる   言う する すぎる カジュアル イタリアン フレンチ 合わせる 真澄,34
女鳥羽の泉,自分好みのお酒を見つけました。,自分 好み  見つける,31
山形正宗,冷やして飲むと粘質感あるタッチにリンゴ酸、すぼまった旨味。確かに燗すると花開きそうな、そんな蕾の様ないじらしさ。燗してみると、おー流石、蕾が花開く。リンゴや苺の旨酸っぱ酸が広がりますねー。余韻はキュッと。温かさと優しさ、癒しがありますね。これはラベル通り燗して飲った方が間違いなく良い！色々挑戦し、今がある。山形正宗、ちょっと注目増し増しで。黒龍,冷やす 飲む 粘い 質感 ある タッチ リンゴ  すぼまる 旨味 確か  する 花開く そう   いじらしい   する みる  流石  花開く リンゴ   酸っぱい  広がる 余韻 キュッ 温かい  優しい  癒す ある これ ラベル 通り  する    間違い 良い    挑戦 する  ある 山形 正宗 注目 増し 増し  ,34
明鏡止水,フレッシュ感と香り､甘みは少し弱いが味がしっかりしててうまいしばらくグラスで置いといても炭酸の泡は見られないが､軽くピリピリと炭酸ぽい感じがする日によって甘く感じたりアルコールが強く感じられる新政,フレッシュ  香る 甘み 弱い  する てる うまい グラス 置く とく 炭酸  見る られる 軽い 炭酸 ぽい 感じ する  甘い 感じる アルコール 強い 感じる られる 新政,28
寫楽,最近人気でなかなか出合えない写楽、偶然このスペックと出会ったので購入しました。スッキリクリア、軽やかなリンゴ、キウイフルーツのような酸、雄町の重厚な印象を大分軽やかに仕上げてます。特に酸が印象的でキリッと引き締まります。これは旨い！酒単体でも食中でも万能に旨いっす。仙介,最近 人気 出合える 写楽 偶然 スペック 出会う 購入 する クリア 軽やか リンゴ キウイ フルーツ よう    重厚 印象 大分 軽やか 仕上げる  印象  引き締まる これ 旨い    単体   万能 旨い 仙介,27
霧筑波,やや控えめなフルーティーな香りまろやかなうまみが喉元を過ぎていく酸味が少なく柔らかなのはいいのですが､ちょっと物足りなかったので室温程度に温めると適度に酸味が効いてキリッと引きしまる精米歩合55%､米はすべて富山県JAなんと産の五百万石を使用しているそうです蔵王,控えめ フルーティー 香り まろやか うまみ 喉元 過ぎる いく 酸味 少ない 柔らか  いい  物足りない 室温 程度 温める 適度 酸味 効く 引く 精米 歩合        すべて 富山          使用 する いる そう 蔵王,34
九頭龍,すっきりした味わい。合わせる料理を選らばない日々の純米酒…らしいのですが、冷蔵保存が必要らしく？購入したものは、完全に酸味エグみが多くダメダメでしたねー販売店の温度管理なんか適当ですモンネ。。。。瀧自慢,する 味わい 合わせる 料理 選る ない      冷蔵 保存 必要   購入 する もの 完全 酸味 エグ みる 多い ダメダメ 販売  温度 管理 適当 モンネ  自慢,34
農口尚彦研究所,林檎、李、バナナをミキシングしたような果実的香味に生のフレッシュさが相まってフレッシュ感倍増。含み香と余韻は山廃らしい乳酸感とコクを力強く感じながら、キレ良くスパッと。流石ですね。ゴーヤチャンプルーと合わせたがなかなか。やっぱり油系を切ってくれる優れ物。四合瓶で２，７００円なんで少し値段が張りますが、山廃・生モト好きは買って損はしないと思います。ネームバリューに気張らずフランクに飲みたい。まんさくの花,林檎  バナナ ミキシング する よう 果実  香味  フレッシュ  フレッシュ  倍増 含み  余韻   乳酸  コク 力強い 感じる キレ 良い スパッ 流石 ゴーヤチャンプルー 合わせる   切る くれる 優れる              値段 張る   モト 好き 買う  する 思う ネームバリュー 気張る フランク 飲む さく ,20
播州一献,柔らかくイチゴの優しい香味と酸味、質感はやや粘質感、余韻はキレ良い。これは美味しいですね。ポン酢なんか使ったサッパリ系と合いそうです。ちなみに「ののさん」とは但馬地方の方言で「観音様」の意味らしいです。後日追記：時間の経過と共にイチゴ香味の推しがやや強くなりますので香り系が苦手な人はちょっと。辰泉,柔らかい イチゴ 優しい 香味 酸味 質感 粘い 質感 余韻 キレ 良い これ 美味しい ポン酢 使う サッパリ  合う そう  さん 但馬 地方 方言 観音  意味 後日 追記   時間 経過 イチゴ 香味 推す 強い なる 香り  苦手   ,29
廣戸川,先日飲んだ雄町生とは火入れの違いと思ったら､こちらにはコメの種類の表記がない山田錦ぽいような?良くわかりませんが冷蔵庫に入っていたが少し温くなったあたりが香りが出てくるが､雄町生とは違って香りも､味にも甘味はあまりない香りのあるうまい辛口といった印象で､生でないせいか印象が全然違う貴魂,先日 飲む    火入れ 違い 思う こちら コメ 種類 表記 ない 山田  ぽい よう   良い わかる 冷蔵庫 入る いる 温い なる あたり 香り 出る くる    違う 香り  甘味 ない 香り ある うまい 辛口 印象  せい 印象 違う ,33
喜正,立ち香と含み香はアル感、タッチはホッコリふっくらと米の旨味がたっぷり。余韻はレモン系の適度な酸とピリッとドライにヒケます。ラベルがめっちゃレトロで買うのに躊躇しましたが、なかなかイケますね。気取らず飾らず焼き鳥や肉じゃが、もつ煮込みなんかと合わせたい。雨後の月,立ち  含み  アル  タッチ コリ  旨味 余韻 レモン  適度  ドライ ヒケ ラベル  トロ 買う 躊躇 する イケ 気取る 飾る 焼き鳥 肉じゃが もつ 煮込み 合わせる 雨後 ,7
廣戸川,スッキリとしたシャープな甘さとやや控えめなフルーティーな香りとてもうまく､甘く感じるが､単に甘いのではなくピンと一本筋が入ったような凛とした甘さ少し炭酸があるようだが開封から3日目でも同じ感じなので違うのか?単なる酸味がそう感じさせるのか?糖度は10%くらいなので辛口のはずですが､それを感じさせない味と香りがある東一,する シャープ 甘い  控えめ フルーティー 香り うまい 甘い 感じる 甘い   本筋 入る よう する 甘い  炭酸 ある よう 開封     感じ 違う    酸味 感じる させる    糖度      辛口 はず それ 感じる させる  香り ある 東一,17
農口尚彦研究所,含むと梨とバナナの香味、このフルーツ感がトロリとしたテクスチャと旨味を伴ってバランス良く展開し、余韻は力強くヒケていきます。開栓初日はむせ返るほどの力強さがありましたが、１日置くと大分まろやかになって飲みやすい。コブサラダや手羽唐等と合わせてみましたが、しっかり合う。繊細さと力強さを兼ね備えたようなソリッドな筋肉質が惚れる。スペックと価格の単純な見合いでは計れないＣＰがあると思う。,含む  バナナ 香味 フルーツ  する テクスチャ 旨味 伴う バランス 良い 展開 する 余韻 力強い ヒケ いく   初日 むせ返る 力強い  ある    置く 大分 まろやか なる 飲む やすい コブ サラダ 手羽   合わせる みる 合う 繊細  力強い  兼ね備える よう ソリッド 筋肉質 惚れる スペック 価格 単純 見合い 計れる    ある 思う,17
月の井,果汁溢れる梨の香味、味乗りもしっかり。酒単体でも美味しいですが、結構味わいと余韻の押しが強めなので食中でもいけそう。いか刺しと野菜炒めと合わせてみたが、イケる。裏ラベルには白身魚の刺身からあんこう鍋まで合うとのこと。ほほぅ。国権,果汁 溢れる  香味  乗り  単体 美味しい 味わい 余韻 押し 強める   いける そう いか 刺し 野菜 炒める 合わせる みる イケ  ラベル 白身  刺身 あんこう  合う こと  国権,34
名倉山,注ぐとほんのり黄金色、含むとどこまでも澄み渡る広大な青空を、スゥっと流れる爽快で涼しげな風を感じるクリア感、香味も高貴なメロンやリンゴがフワリ、これまたキレも良くスッキリ。クリア感とスッキリ感が際立っており、流石は出品酒の貫禄です。なかなか飲めませんが、会席で飲んだら合うだろうなー。農口尚彦研究所,注ぐ 黄金  含む どこ 澄み渡る 広大 青空 スゥ 流れる 爽快 涼しげ  感じる クリア  香味 高貴 メロン リンゴ これ キレ 良い クリア   際立つ おる 流石 出品  貫禄 飲める 会席 飲む 合う   尚彦 研究所,27
吉田蔵,手取川を造っている蔵です精米歩合45%､1回火入れの大吟醸軽いフルーティな香りと程よいうまみわずかに炭酸があるのか?アルコールが17%とは思えない飲みやすさです酸味が少なくてまろやかなうまさがいいが､数日たつと少し酸味が出てくる流輝,手取川 造る いる  精米 歩合          火入れ 吟醸 軽い フルーティ 香り 程よい うまみ 炭酸 ある    アルコール      思える 飲む やすい  酸味 少ない まろやか うまい  いい   たつ 酸味 出る くる  ,25
奈良萬,精米歩合53%､アルコール16%の純米吟醸純米生酒との違いは香りが弱いそれは当然として､すっきりした辛口ですあと味は酸味がじわっと舌に残る感じがある室温程度ではうまみが出てくるが酸味も強く出てくる花邑,精米 歩合       アルコール       吟醸  生酒 違い 香り 弱い それ する する 辛口 あと  酸味  残る 感じ ある 室温 程度 うまみ 出る くる 酸味 強い 出る くる  ,32
喜楽長,山田錦100％使用精米歩合55％アルコール度17度以上18度未満日本酒度＋14.0酸度1.9「うまみのある辛口が呑みたい」とラベルにあるように、まさしくスッキリとした辛さの中に、マイルドな美味さがじわっと口いっぱいに広がる、のどごし爽やかなお酒です。料理を邪魔しないので、旨い肴にはピッタリの食中酒だと思います。常きげん,山田        使用 精米 歩合      アルコール      以上     未満 日本酒           酸度       うまみ ある 辛口 呑む ラベル ある よう する 辛い   マイルド 美味い   いっぱい 広がる のどごし 爽やか  料理 邪魔 する 旨い     思う  げん,27
大沼屋,仙台のカネタケ青木酒店限定の銘柄スペック。店内に乾坤一通常スペックと大沼屋スペックとの比較が表示してあり、かなり推してる感じです。含んだ瞬間、おっ旨い（笑）。シャープだけどどっしりとした力強い旨味、余韻も大分酸が利いてますね。こりゃ肉系や味の濃いアテに合いそうですね。今日はぶり照りと合わせましたが合いますね。勝駒,仙台 カネ タケ 青木   限定 銘柄 スペック 店内 乾坤  通常 スペック 大沼  スペック 比較 表示 する ある 推す てる 感じ 含む 瞬間 旨い       シャープ する 力強い 旨味 余韻 大分  利く    濃い アテ 合う そう 今日 ぶり 照り 合わせる 合う  ,34
天青,注ぐとフルーティーな立ち香が漂う。含むと雄町らしいな厚みのあるボリューム感ある甘旨味、梨っぽい含み香。ラベルからスッキリ系なイメージを持っていたが、そんなことは無く結構華やかな系です（雄町だからかな）。味わいを残したままキレ良くヒケるので、くどさ重たさは無く、いわゆる旨いです。早瀬浦,注ぐ フルーティー 立ち  漂う 含む   厚み ある ボリューム  甘い 旨味  っぽい 含み  ラベル  イメージ 持つ いる こと 無い 華やか      かな    味わい 残す まま キレ 良い ヒケ くどい  重たい  無い 旨い 早瀬 ,34
奈良萬,ほんのりと炭酸を感じるグラスには細かい泡が少々甘うまく､後味は酸味がジワ～っとくる嗅いだことのある香りがする何の香りかといわれると答えようがないが､少し重い感じの香り無濾過の原酒だけあって味は濃い純米生酒ですが精米歩合は55%で純米吟醸ですねアルコールは17%です鍋島,炭酸 感じる グラス 細かい  甘い うまい 後味 酸味 ジワ くる 嗅ぐ こと ある 香り する  香り いう れる 答え よう ない 重い 感じ 香り 濾過 原酒 ある  濃い  生酒 精米 歩合       吟醸 アルコール      鍋島,34
長生舞,精米歩合68%､アルコール19%の原酒です香りはしますがあまり強くないやや甘めで糖度は11.9%だがアルコールのせいかそれほど甘口とは思えず､むしろ後味は辛口にも感じる｢氷を入れてロックがお勧め｣とラベルにある通り氷を浮かべると､甘さとアルコールが適度に薄められてキリッとした辛口にアルコールの高さと辛口のせいで焼酎に近い感じがする出羽桜,精米 歩合       アルコール      原酒 香り する 強い 甘い  糖度          アルコール せい 甘口 思える 後味 辛口 感じる  入れる ロック 勧め ラベル ある 通り  浮かべる 甘い  アルコール 適度 薄める られる する 辛口 アルコール 高い  辛口 せい 焼酎 近い 感じ する 出羽 ,29
美丈夫,精米歩合50%､アルコール15%の大吟醸です要冷蔵とあったので冷蔵庫に置いてあったのをまずいただくやや甘い感じはするが香りは弱いし酸味も弱い20度程度にすると酸味と渋みが強く出てくる梵,精米 歩合       アルコール      吟醸 冷蔵 ある 冷蔵庫 置く ある  いただく 甘い 感じ する 香り 弱い 酸味 弱い     程度 する 酸味 渋み 強い 出る くる ,33
澤の花,ふくよかなボリューム感ある旨味がドシッと広がる、酸もしっかりと。辛口とありますがシャープな感じではなく、しっかりと味わいがある辛口です。食が進みますね。秋～冬には重宝しそう。,ふくよか ボリューム  ある 旨味 ドシッ 広がる  辛口 ある シャープ 感じ 味わい ある 辛口  進む 秋冬 重宝 する そう,27
DATE SEVEN,近くの角打ちでビールを飲んだあと、自宅にて7月7日に買い置きしていた、DATESEVENを開封。一口飲んで純米吟醸ではよくある味と思ったが、ラベルを見て、精米歩合33％の純米大吟醸と知りびっくり。そういえば3000円近い金額だった事を思い出す。新政や醸し人九平治のようなインパクトはないものの、悪くない味（酒米はひとめぼれ）。意地悪試験で少し温めて飲んでみたが、味に破たんがなく、間違いなく、いい酒である事を認識。残り半分残っているので、味覚の冴えた時に、しっかり味わってみたいと思った次第です。月吉野,近く  打ち ビール 飲む あと 自宅       買い置き する いる           開封 一口 飲む  吟醸 ある  思う ラベル 見る 精米 歩合       吟醸 知る びっくり いう       近い 金額  思い出す 新政 醸す   平治 よう インパクト ない 悪い      ひとめぼれ    意地悪 試験 温める 飲む みる  破たん ない 間違い いい   認識 残り 半分 残る いる 味覚 冴える  味わう みる 思う 次第 月吉 ,34
菊の司,アルコール分１７度精米歩合６０％（宮城県産亀の尾100％使用）冷やしていただきました。おおらかな奥の深ーい味わい。酸味はあまり強くありませんが、キンキンと、とがった感じでもない。じっくりと長く飲めるお酒です。浅間嶽,アルコール      精米 歩合       宮城           使用   冷やす いただく おおらか  深い  いる 味わい 酸味 強い ある キン キン とがる 感じ ない 長い 飲める  浅間 ,8
花泉,含むとしっとりとしたタッチ、花泉らしい優しいふっくらとした甘味を感じるが、加水感あるスッキリさが余韻のキレを際立たせています。スイスイ飲めるのに旨い！超,含む する タッチ 花泉 優しい する 甘味 感じる 加水  ある  余韻 キレ 際立つ せる いる 飲める  旨い   ,6
五凜,天狗舞を作っている蔵の酒なのでドン!!と一発くるかと思いきや､意外と軽く感じる甘さはあまりないが､うまい軽くてうまく､あと味はジワ～っとくる酸味が残る全体としてはやっぱり濃い味かなロ万,天狗  作る いる        くる 思う 軽い 感じる 甘い  ない うまい 軽い うまい あと  ジワ くる 酸味 残る 全体 濃い   ,25
田村,含むと青リンゴの爽やかな香味、そこからピリッとガス感、骨太で質感・重量感ある甘味、余韻はやや苦ドライ。軽やかなようでズッシリと。美味しいですね。福田,含む  リンゴ 爽やか 香味 そこ ガス  骨太 質感 重量  ある 甘味 余韻  ドライ 軽やか よう ズッシリ 美味しい 福田,25
くどき上手,くどき上手を作っている所の酒です酒に炭酸ガスを注入して作った発泡性の酒です精米歩合50%､アルコール10-11%で甘くも辛くもなく飲みやすいスパークリングワインを飲んだ経験から言えば強炭酸で味の感じ方が変わってしまうのをうまくまとめている香りと甘みがもう少し強ければいいのかと思うが､それはあくまでも私個人の好みということで池月,くどい 上手 作る いる    炭酸 ガス 注入 する 作る 発泡   精米 歩合       アルコール           甘い ない 飲む やすい スパークリングワイン 飲む 経験 言う 強い 炭酸  感じ  変わる しまう  うまい まとめる いる 香り 甘み 強い いい  思う それ  個人 好み こと 池月,33
